1998.74932 1998.75479 G 1998-09-30 12:00:00 1998-10-02 12:00:00
1998.75126 1998.76611 X 1998-10-01 05:00:00 1998-10-06 15:04:48
1998.76724 1998.78768 X 1998-10-07 01:00:00 1998-10-14 12:02:24
1998.76724 1998.76724 G 1998-10-07 01:00:00 1998-10-07 01:00:00
1998.79030 1998.79931 X 1998-10-15 11:00:00 1998-10-18 17:57:36
1998.80217 1998.81039 G 1998-10-19 19:00:00 1998-10-22 19:00:00
1998.80285 1998.82283 X 1998-10-20 01:00:00 1998-10-27 07:57:36
1998.82295 1998.84681 X 1998-10-27 09:00:00 1998-11-05 02:02:24
1998.82306 1998.82854 G 1998-10-27 10:00:00 1998-10-29 10:00:00
1998.84680 1998.85182 X 1998-11-05 02:00:00 1998-11-06 21:55:12
1998.85183 1998.86383 X 1998-11-06 22:00:00 1998-11-11 07:07:12
1998.87272 1998.87820 G 1998-11-14 13:00:00 1998-11-16 13:00:00
1998.87363 1998.88563 X 1998-11-14 21:00:00 1998-11-19 06:07:12
1998.88687 1998.89704 X 1998-11-19 17:00:00 1998-11-23 10:02:24
1998.89715 1998.89989 G 1998-11-23 11:00:00 1998-11-24 11:00:00
1998.89715 1998.91564 X 1998-11-23 11:00:00 1998-11-30 05:00:00
1998.91564 1998.92339 X 1998-11-30 05:00:00 1998-12-03 00:55:12
1998.92340 1998.93209 X 1998-12-03 01:00:00 1998-12-06 05:04:48
1998.95183 1998.96005 G 1998-12-13 10:00:00 1998-12-16 10:00:00
1998.95616 1998.96679 X 1998-12-15 00:00:00 1998-12-18 21:07:12
1998.96689 1998.97465 X 1998-12-18 22:00:00 1998-12-21 17:55:12
1998.98368 1998.98368 G 1998-12-25 01:00:00 1998-12-25 01:00:00
1998.98425 1998.99178 X 1998-12-25 06:00:00 1998-12-28 00:00:00
1998.99189 1999.01450 X 1998-12-28 01:00:00 1999-01-05 07:00:00
1999.01450 1999.03677 X 1999-01-05 07:00:00 1999-01-13 10:07:12
1999.01598 1999.02146 G 1999-01-05 20:00:00 1999-01-07 20:00:00
1999.03676 1999.04999 X 1999-01-13 10:00:00 1999-01-18 05:55:12
1999.03676 1999.04224 G 1999-01-13 10:00:00 1999-01-15 10:00:00
1999.05582 1999.07478 X 1999-01-20 09:00:00 1999-01-27 07:04:48
1999.09326 1999.11244 X 1999-02-03 01:00:00 1999-02-10 01:00:00
1999.11370 1999.11918 G 1999-02-10 12:00:00 1999-02-12 12:00:00
1999.11518 1999.12488 X 1999-02-11 01:00:00 1999-02-14 13:57:36
1999.12489 1999.12763 G 1999-02-14 14:00:00 1999-02-15 14:00:00
