 15 1995-10-18T10:40 LLAMAICEB Wind       2.19      -1.99      -1.26       9.00     402.30   78407.07      41.16       7.89       6.06     -10.31      -1.72      21.14     406.95   49851.48      13.04       0.20
 16 1995-10-24T07:45      Jian Wind       None       None       None       None       None       None       None       None      -0.70       2.06      -1.28       4.68     400.75   46945.30       6.41       3.16
 17 1995-12-02T12:30    DREAMS Wind       None       None       None       None       None       None       None       None      -2.11       9.72       1.76      10.19     370.73   15475.11       6.82       0.39
 17 1995-12-02T12:30 LLAMAICEA Wind       None       None       None       None       None       None       None       None      -2.11       9.72       1.76      10.19     370.73   15475.11       6.82       0.39
 18 1995-12-15T04:39    DREAMS Wind      -0.52      -2.97      -1.98       6.32     347.56   49643.96      32.10      13.76       4.02       6.47      -1.29      10.38     391.74   37833.20      12.98       1.00
 18 1995-12-15T04:39      Jian Wind       None       None       None       None       None       None       None       None       5.64       7.99       1.15      10.98     399.38   30184.32      12.59       0.82
 18 1995-12-15T04:39   Lepping Wind       None       None       None       None       None       None       None       None       5.66       7.42       1.71      10.55     398.71   39288.54      12.86       1.03
 18 1995-12-15T04:39      Wind Wind       1.98       5.60      -3.59       9.84     388.16   42810.09      13.67       1.29       6.79       7.57       1.95      11.02     395.99   31840.03      12.34       0.79
 18 1995-12-15T04:39 LLAMAICEA Wind       1.01       2.24      -2.98       8.49     372.52   45501.40      20.79       6.12       6.79       7.57       1.95      11.02     395.99   31840.03      12.34       0.79
 18 1995-12-15T04:39 LLAMAICEB Wind       1.01       2.24      -2.98       8.49     372.52   45501.40      20.79       6.12       6.39       7.14       2.17      10.58     396.59   40756.49      12.55       1.00
 18 1995-12-15T04:39 LLAMAICEC Wind      -0.55      -3.11      -2.02       6.33     347.61   49790.00      32.13      13.81       4.02       6.43      -1.24      10.34     391.48   38163.95      13.11       1.08
 18 1995-12-15T04:39 LLAMAICED Wind      -0.55      -3.11      -2.02       6.33     347.61   49790.00      32.13      13.81       4.10       6.34      -0.82      10.19     392.21   41824.15      13.14       1.15
 19 1996-02-15T15:07      Jian Wind       None       None       None       None       None       None       None       None      -0.59       4.07      -2.22       6.86     386.93   20548.69      14.11       1.98
 19 1996-02-15T15:07      Wind Wind       None       None       None       None       None       None       None       None      -0.62       4.12      -2.26       6.89     386.73   20243.75      14.19       1.98
 19 1996-02-15T15:07 LLAMAICEA Wind       None       None       None       None       None       None       None       None       0.48       2.49      -2.64       6.04     391.70   19226.60      10.10       1.83
 19 1996-02-15T15:07 LLAMAICEB Wind       None       None       None       None       None       None       None       None      -0.62       4.12      -2.26       6.89     386.73   20243.75      14.19       1.98
 20 1996-04-04T12:21      Wind Wind       None       None       None       None       None       None       None       None       3.19      -3.72       0.68       7.22     388.89   67032.98       9.48       1.81
 20 1996-04-04T12:21 LLAMAICEA Wind       None       None       None       None       None       None       None       None       3.30      -4.18       0.67       7.59     386.86   65289.46       9.29       1.34
 21 1996-05-16T23:04      Wind Wind       3.08      -1.31       1.21       5.73     425.92   74711.58       8.28       2.64       1.87      -4.29      -0.83       7.04     419.52   62202.93       5.94       1.00
 21 1996-05-16T23:04 LLAMAICEA Wind       3.96      -2.02      -0.17       5.43     419.17   81791.84       8.92       2.94       1.11      -4.28      -0.23       7.26     422.84   57255.71       6.11       0.93
 21 1996-05-16T23:04 LLAMAICEB Wind       3.96      -2.02      -0.17       5.43     419.17   81791.84       8.92       2.94       1.44      -4.21      -0.33       7.14     421.93   60987.26       6.04       0.99
 22 1996-05-27T11:59    DREAMS Wind       None       None       None       None       None       None       None       None      -3.43       5.55      -2.57       9.16     379.92   24761.39       8.78       0.66
 22 1996-05-27T11:59      Jian Wind       None       None       None       None       None       None       None       None      -2.32       5.81       2.00      10.18     370.28   35101.97      17.49       1.13
 22 1996-05-27T11:59   Lepping Wind       None       None       None       None       None       None       None       None      -2.91       6.17       1.68      10.05     368.56   31374.04      15.91       1.01
 22 1996-05-27T11:59        RC Wind       None       None       None       None       None       None       None       None      -3.63       6.58       0.51       9.77     368.13   28739.83      13.93       0.94
 22 1996-05-27T11:59      Wind Wind       None       None       None       None       None       None       None       None      -3.70       6.63       0.20       9.66     368.27   28393.24      13.53       0.93
